Frame,Conf,X1,Y1,X2,Y2,Width,Height,Modified_Temp
242,0.721090317,236,446,1810,494,1574,48,30.9
243,0.720996797,236,446,1810,494,1574,48,30.9
244,0.721554637,236,446,1810,494,1574,48,30.9
245,0.721136034,236,446,1810,494,1574,48,30.9
246,0.721093476,236,446,1810,494,1574,48,30.9
247,0.721398711,236,446,1810,494,1574,48,30.9
248,0.704869807,236,444,1811,493,1575,49,30.9
249,0.704999626,236,444,1810,493,1574,49,30.9
250,0.705929756,236,444,1811,493,1575,49,30.9
251,0.705824614,236,444,1810,493,1574,49,30.9
252,0.706232607,236,444,1811,493,1575,49,30.9
253,0.706178546,236,444,1810,493,1574,49,30.9
254,0.706282377,236,444,1810,493,1574,49,30.9
255,0.706423283,236,444,1810,493,1574,49,30.9
256,0.706294656,236,444,1810,493,1574,49,30.9
257,0.706764817,236,444,1810,493,1574,49,30.9
258,0.706806242,236,444,1810,493,1574,49,30.9
259,0.720021605,236,444,1810,492,1574,48,30.9
260,0.715598106,236,444,1810,492,1574,48,30.9
261,0.715353668,236,444,1810,492,1574,48,30.9
262,0.71570915,236,444,1810,492,1574,48,30.9
263,0.715061724,236,444,1810,492,1574,48,30.9
264,0.714779139,236,444,1810,492,1574,48,30.9
265,0.715324759,236,444,1810,492,1574,48,30.9
266,0.71414876,236,444,1810,492,1574,48,30.9
267,0.714230418,236,444,1810,492,1574,48,30.9
268,0.739087284,236,444,1810,492,1574,48,30.9
269,0.738199949,236,444,1810,492,1574,48,30.9
270,0.738128841,236,444,1810,492,1574,48,30.9
271,0.738983512,236,444,1810,492,1574,48,30.9
272,0.738348246,236,444,1810,492,1574,48,30.9
273,0.738236964,236,444,1810,492,1574,48,30.9
274,0.73892504,236,444,1810,492,1574,48,30.9
275,0.738267303,236,444,1810,492,1574,48,30.9
276,0.738225937,236,444,1810,492,1574,48,30.9
277,0.738961875,236,444,1810,492,1574,48,30.9
278,0.718393028,236,442,1810,490,1574,48,30.9
279,0.718298554,289,442,1863,490,1574,48,30.9
280,0.718333602,236,442,1810,490,1574,48,30.9
281,0.717842698,236,442,1810,490,1574,48,30.9
282,0.718578398,236,442,1810,490,1574,48,30.9
283,0.717262805,236,442,1810,490,1574,48,30.9
284,0.718676507,236,442,1810,490,1574,48,30.9
285,0.718585908,236,442,1810,490,1574,48,30.9
286,0.717308939,236,442,1810,490,1574,48,30.9
287,0.718546569,236,442,1810,490,1574,48,30.9
288,0.692094922,236,440,1810,487,1574,47,30.9
289,0.694575071,236,440,1810,487,1574,47,30.9
290,0.694114029,236,440,1810,487,1574,47,30.9
291,0.693295956,236,440,1810,487,1574,47,30.9
292,0.693042219,236,440,1810,487,1574,47,30.9
293,0.693516731,236,440,1810,487,1574,47,30.9
294,0.693372965,236,440,1810,487,1574,47,30.9
295,0.693220377,236,440,1810,487,1574,47,30.9
296,0.69353658,236,440,1810,487,1574,47,30.9
297,0.615350604,184,438,1758,486,1574,48,30.9
298,0.614791453,184,439,1758,486,1574,47,30.9
299,0.619107962,184,438,1758,486,1574,48,30.9
300,0.617291629,184,438,1758,486,1574,48,30.9
301,0.617519855,184,439,1758,486,1574,47,30.9
302,0.617753863,184,439,1758,486,1574,47,30.9
303,0.617696464,184,439,1758,486,1574,47,30.9
304,0.617578685,184,439,1758,486,1574,47,30.9
305,0.61789763,184,439,1758,486,1574,47,30.9
306,0.61789763,184,439,1758,486,1574,47,30.9
307,0.701052904,0,433,2093,482,2093,49,30.9
308,0.700672448,0,433,2093,482,2093,49,30.9
309,0.699385166,0,433,2093,482,2093,49,30.9
310,0.697905362,0,433,2093,482,2093,49,30.9
311,0.701077819,0,433,2093,482,2093,49,30.9
312,0.701202452,0,433,2093,482,2093,49,30.9
313,0.682148755,1,432,2093,482,2092,50,30.9
314,0.681416512,1,432,2093,482,2092,50,30.9
315,0.681564927,1,432,2093,482,2092,50,30.9
316,0.681938469,1,432,2093,482,2092,50,30.9
317,0.681144714,1,432,2093,482,2092,50,30.9
318,0.795094669,1,429,2095,479,2094,50,30.9
319,0.793656707,1,429,2095,479,2094,50,30.9
320,0.793624818,2,429,2095,479,2093,50,30.9
321,0.791383684,2,429,2095,479,2093,50,30.9
322,0.792055368,2,429,2095,479,2093,50,30.9
323,0.791179299,2,429,2095,479,2093,50,30.9
324,0.791064322,2,429,2095,479,2093,50,30.9
325,0.792887747,2,429,2095,479,2093,50,30.9
326,0.791841686,2,429,2095,479,2093,50,30.9
327,0.791841686,2,429,2095,479,2093,50,30.9
328,0.858189464,2,429,2093,471,2091,42,30.9
329,0.858357012,2,429,2093,471,2091,42,30.9
330,0.856818318,6,424,2094,472,2088,48,30.9
331,0.856300712,5,424,2094,472,2089,48,30.9
332,0.856427312,2,429,2093,471,2091,42,30.9
333,0.856517673,2,429,2093,471,2091,42,30.9
334,0.856213331,5,424,2094,472,2089,48,30.9
335,0.856608093,2,429,2093,471,2091,42,30.9
336,0.856608093,2,429,2093,471,2091,42,30.9
337,0.856345832,5,424,2094,472,2089,48,30.9
338,0.861240923,2,425,2090,467,2088,42,30.9
339,0.863692224,1,425,2090,467,2089,42,30.9
340,0.863635063,1,425,2090,467,2089,42,30.9
341,0.86519748,2,425,2090,467,2088,42,30.9
342,0.865203023,1,425,2090,467,2089,42,30.9
343,0.864694297,1,425,2090,467,2089,42,30.9
344,0.865320385,1,425,2090,467,2089,42,30.9
345,0.865312815,1,425,2090,467,2089,42,30.9
346,0.864720166,1,425,2090,467,2089,42,30.9
347,0.865482092,2,425,2090,467,2088,42,30.9
348,0.865521252,2,425,2090,467,2088,42,30.9
349,0.840722859,2,419,2092,463,2090,44,30.9
350,0.846702337,2,419,2092,463,2090,44,30.9
351,0.844855309,2,419,2093,463,2091,44,30.9
352,0.843735456,2,419,2093,463,2091,44,30.9
353,0.843998492,2,419,2093,463,2091,44,30.9
354,0.843936205,2,419,2093,463,2091,44,30.9
355,0.843398273,2,419,2093,463,2091,44,30.9
356,0.843800604,2,419,2093,463,2091,44,30.9
357,0.848728359,2,418,2092,463,2090,45,30.9
358,0.848463476,2,418,2092,463,2090,45,30.9
359,0.838726103,2,416,2092,460,2090,44,30.9
360,0.840197325,2,416,2092,460,2090,44,30.9
361,0.839296877,2,416,2092,460,2090,44,30.9
362,0.841807604,2,416,2092,460,2090,44,30.9
363,0.841783643,2,416,2092,460,2090,44,30.9
364,0.84142971,2,416,2092,460,2090,44,30.9
365,0.841831207,2,416,2092,460,2090,44,30.9
366,0.841873169,2,416,2092,460,2090,44,30.9
367,0.841372073,2,416,2092,460,2090,44,30.9
368,0.839852154,2,416,2093,460,2091,44,30.9
369,0.835778058,2,416,2094,460,2092,44,30.9
370,0.834303558,2,416,2094,460,2092,44,30.9
371,0.833186984,2,416,2094,460,2092,44,30.9
372,0.833187461,2,416,2094,460,2092,44,30.9
373,0.833274007,2,416,2094,460,2092,44,30.9
374,0.833238184,2,416,2094,460,2092,44,30.9
375,0.833210468,2,416,2094,460,2092,44,30.9
376,0.833222687,2,416,2094,460,2092,44,30.9
377,0.832839608,2,416,2094,460,2092,44,30.9
378,0.832710207,2,416,2094,460,2092,44,30.9
379,0.842597961,1,416,2094,460,2093,44,30.9
380,0.84083271,1,416,2094,460,2093,44,30.9
381,0.841647923,1,416,2094,460,2093,44,30.9
382,0.839202762,1,416,2094,460,2093,44,30.9
383,0.840660989,1,416,2094,460,2093,44,30.9
384,0.840669692,1,416,2094,460,2093,44,30.9
385,0.839533687,1,416,2094,460,2093,44,30.9
386,0.839753211,1,416,2094,460,2093,44,30.9
387,0.840266645,1,416,2094,460,2093,44,30.9
388,0.859043062,1,416,2093,460,2092,44,30.9
389,0.85939008,1,416,2093,460,2092,44,30.9
390,0.858394444,1,416,2094,460,2093,44,30.9
391,0.858449221,1,416,2093,460,2092,44,30.9
392,0.859119534,1,416,2093,460,2092,44,30.9
393,0.859487295,1,416,2093,460,2092,44,30.9
394,0.858869195,1,416,2093,460,2092,44,30.9
395,0.859551847,1,416,2093,460,2092,44,30.9
396,0.859559834,1,416,2093,460,2092,44,30.9
397,0.858893096,1,416,2093,460,2092,44,30.9
398,0.853937566,1,416,2094,460,2093,44,30.9
399,0.853971481,1,416,2094,460,2093,44,30.9
400,0.852770507,1,416,2094,460,2093,44,30.9
401,0.849973023,2,415,2091,460,2089,45,30.9
402,0.849902749,2,415,2091,460,2089,45,30.9
403,0.850566626,2,415,2091,460,2089,45,30.9
404,0.849772751,2,415,2091,460,2089,45,30.9
405,0.849690557,2,415,2091,460,2089,45,30.9
406,0.850189507,2,415,2091,460,2089,45,30.9
407,0.849366248,2,415,2091,460,2089,45,30.9
408,0.868584633,1,418,2093,462,2092,44,30.9
409,0.868453979,1,418,2093,462,2092,44,30.9
410,0.867148399,1,418,2093,462,2092,44,30.9
411,0.867116213,1,418,2093,462,2092,44,30.9
412,0.867389679,1,418,2093,462,2092,44,30.9
413,0.866874695,1,418,2093,462,2092,44,30.9
414,0.866832256,1,418,2093,462,2092,44,30.9
415,0.867470205,1,418,2093,462,2092,44,30.9
416,0.866880894,1,418,2093,462,2092,44,30.9
417,0.866829574,1,418,2093,462,2092,44,30.9
418,0.87210536,2,420,2087,463,2085,43,30.9
419,0.871987402,2,420,2087,463,2085,43,30.9
420,0.871643662,2,420,2088,463,2086,43,30.9
421,0.871897161,2,420,2088,463,2086,43,30.9
422,0.871464312,2,420,2088,463,2086,43,30.9
423,0.871425152,2,420,2088,463,2086,43,30.9
424,0.871696115,2,420,2088,463,2086,43,30.9
425,0.871314764,2,420,2088,463,2086,43,30.9
426,0.871324539,2,420,2088,463,2086,43,30.9
427,0.871687055,2,420,2088,463,2086,43,30.9
428,0.858380735,1,424,2088,466,2087,42,30.9
429,0.860815883,1,424,2088,466,2087,42,30.9
430,0.86025995,1,424,2088,466,2087,42,30.9
431,0.86162883,1,424,2087,466,2086,42,31
432,0.861798763,1,424,2087,466,2086,42,31
433,0.861654997,1,424,2087,466,2086,42,31
434,0.861691415,1,424,2087,466,2086,42,31
435,0.861683011,1,424,2087,466,2086,42,31
436,0.861615896,1,424,2087,466,2086,42,31
437,0.861724675,1,424,2087,466,2086,42,31
438,0.864990592,1,428,2092,470,2091,42,31
439,0.864908457,1,428,2092,470,2091,42,31
440,0.865685463,1,428,2092,470,2091,42,31
441,0.865151167,1,428,2092,470,2091,42,31
442,0.865454018,1,428,2092,470,2091,42,31
443,0.864734888,1,428,2092,470,2091,42,31
444,0.864772379,1,428,2092,470,2091,42,31
445,0.865296006,1,428,2092,470,2091,42,31
446,0.864654362,1,428,2092,470,2091,42,31
447,0.864651442,2,428,2092,470,2090,42,31
448,0.851071835,2,431,2092,473,2090,42,31
449,0.852056861,2,431,2092,473,2090,42,31
450,0.852515697,2,431,2091,473,2089,42,31
451,0.854421854,2,431,2091,473,2089,42,31
452,0.854416668,2,431,2091,473,2089,42,31
453,0.854418933,2,431,2091,473,2089,42,31
454,0.854379237,2,431,2091,473,2089,42,31
455,0.854393065,2,431,2091,473,2089,42,31
456,0.854381502,2,431,2091,473,2089,42,31
457,0.854409933,2,431,2091,473,2089,42,31
458,0.800751388,5,430,2093,478,2088,48,31
459,0.801018596,5,430,2093,478,2088,48,31
460,0.792378664,5,430,2093,478,2088,48,31
461,0.792532146,5,430,2093,478,2088,48,31
462,0.792665362,5,430,2093,478,2088,48,31
463,0.792308688,5,430,2093,478,2088,48,31
464,0.790376425,5,430,2093,478,2088,48,31
465,0.790473342,5,430,2093,478,2088,48,31
466,0.791344225,5,430,2093,478,2088,48,31
467,0.791482866,5,430,2093,478,2088,48,31
468,0.65749824,3,433,2093,481,2090,48,31
469,0.657204092,3,433,2093,481,2090,48,31
470,0.660223722,4,433,2093,481,2089,48,31
471,0.661298037,4,433,2093,481,2089,48,31
472,0.664235592,4,433,2093,481,2089,48,31
473,0.661827624,4,433,2093,481,2089,48,31
474,0.661689162,4,433,2093,481,2089,48,31
475,0.664675951,4,433,2093,481,2089,48,31
476,0.662761092,4,433,2093,481,2089,48,31
477,0.662590504,4,433,2093,481,2089,48,31
478,0.65504986,236,439,1810,485,1574,46,31
479,0.651589811,236,439,1810,485,1574,46,31
480,0.648611128,236,439,1810,485,1574,46,31
481,0.650054634,236,439,1810,485,1574,46,31
482,0.650105536,236,439,1810,485,1574,46,31
483,0.650020778,236,439,1810,485,1574,46,31
484,0.650049627,236,439,1810,485,1574,46,31
485,0.649877548,236,439,1810,485,1574,46,31
486,0.649894297,236,439,1810,485,1574,46,31
487,0.650093377,236,439,1810,485,1574,46,31
488,0.728853106,236,440,1810,486,1574,46,31
489,0.728906989,236,440,1810,486,1574,46,31
490,0.729047596,236,440,1810,486,1574,46,31
491,0.728514016,236,440,1810,486,1574,46,31
492,0.727933884,236,440,1810,486,1574,46,31
493,0.720245957,236,439,1810,486,1574,47,31
494,0.719760895,236,439,1810,486,1574,47,31
495,0.71978122,236,439,1810,486,1574,47,31
496,0.720079124,236,439,1810,486,1574,47,31
497,0.720027328,236,439,1810,486,1574,47,31
498,0.746100485,236,441,1810,487,1574,46,31
499,0.746161759,236,441,1810,487,1574,46,31
500,0.74588412,236,441,1810,487,1574,46,31
501,0.745476186,236,441,1810,487,1574,46,31
502,0.745964885,236,441,1810,487,1574,46,31
503,0.745390892,236,441,1810,487,1574,46,31
504,0.745511413,236,441,1810,487,1574,46,31
505,0.745609879,236,441,1810,487,1574,46,31
506,0.745298684,236,441,1810,487,1574,46,31
507,0.745384276,236,441,1810,487,1574,46,31
508,0.745530307,236,441,1810,487,1574,46,31
509,0.749114811,236,442,1810,488,1574,46,31
510,0.748646557,236,442,1810,488,1574,46,31
511,0.747860253,236,442,1810,488,1574,46,31
512,0.74748528,236,442,1810,488,1574,46,31
513,0.747532129,236,442,1810,488,1574,46,31
514,0.747572601,236,442,1810,488,1574,46,31
515,0.747443497,236,442,1810,488,1574,46,31
516,0.747555852,236,442,1810,488,1574,46,31
517,0.747794092,236,442,1810,488,1574,46,31
518,0.751448095,236,443,1810,489,1574,46,31
519,0.751518905,236,443,1810,489,1574,46,31
520,0.75185591,236,443,1810,489,1574,46,31
521,0.752201974,236,443,1810,489,1574,46,31
522,0.752182722,236,443,1810,489,1574,46,31
523,0.75213635,236,443,1810,489,1574,46,31
524,0.752094507,236,443,1810,489,1574,46,31
525,0.752068937,236,443,1810,489,1574,46,31
526,0.752226114,236,443,1810,489,1574,46,31
527,0.752146661,236,443,1810,489,1574,46,31
528,0.752199471,236,443,1810,489,1574,46,31
529,0.751299381,236,444,1810,490,1574,46,31
530,0.751159668,236,444,1810,490,1574,46,31
531,0.750886142,236,444,1810,490,1574,46,31
532,0.75237149,236,444,1810,490,1574,46,31
533,0.750684202,236,444,1810,491,1574,47,31
534,0.750811338,236,444,1810,490,1574,46,31
535,0.752265036,236,444,1810,491,1574,47,31
536,0.750571907,236,444,1810,490,1574,46,31
537,0.750496209,236,444,1810,490,1574,46,31
538,0.74025172,236,444,1810,491,1574,47,31
539,0.740297437,236,444,1810,491,1574,47,31
540,0.74034822,236,444,1810,491,1574,47,31
541,0.740275443,236,444,1810,491,1574,47,31
542,0.740170419,236,444,1810,491,1574,47,31
543,0.740178943,236,444,1810,491,1574,47,31
544,0.73992902,236,444,1810,491,1574,47,31
545,0.740113854,236,444,1810,491,1574,47,31
546,0.740112722,236,444,1810,491,1574,47,31
547,0.739897549,236,444,1810,491,1574,47,31
548,0.753330767,236,444,1810,491,1574,47,31
549,0.753280282,236,444,1810,491,1574,47,31
550,0.753503382,236,444,1810,491,1574,47,31
551,0.753771365,236,444,1810,491,1574,47,31
552,0.753766477,236,444,1810,491,1574,47,31
