                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                   1.09,                 1.6305,                0.83766,                0.57491,                   0.74,                0.66577,                0.36613,                 1.7791,                 1.2351,                0.50941,              0.0016502,              0.0016502,              0.0016502
                     55,                  1.089,                 1.6075,                0.83224,                0.31509,                   0.71,                0.32239,                0.15367,                 1.8906,                  1.608,                0.53122,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.1079,                 1.6119,                0.83877,                0.39129,                0.73925,                 0.3887,                0.19775,                 1.7558,                 1.4752,                0.52882,               0.001637,               0.001637,               0.001637
                     57,                 1.0889,                 1.6309,                0.83595,                0.39034,                   0.81,                0.45429,                0.24819,                 1.7519,                 1.4179,                0.53319,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.0963,                 1.6175,                 0.8346,                0.65781,                   0.52,                0.64259,                0.36122,                 1.7171,                 1.3506,                0.53664,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0943,                 1.6036,                0.83424,                0.64777,                   0.34,                0.49476,                0.25513,                 1.8569,                 1.7695,                0.52781,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0699,                 1.5854,                0.83017,                0.73965,                0.71023,                0.75344,                0.39918,                 1.7799,                 1.2833,                0.52071,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0779,                 1.5951,                0.82751,                0.45461,                   0.69,                0.48321,                0.26534,                 1.7668,                  1.378,                0.53355,               0.001604,               0.001604,               0.001604
                     62,                 1.0868,                 1.5857,                0.83574,                0.74465,                0.69987,                0.80496,                0.39685,                 1.7992,                 1.2049,                0.53982,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0852,                 1.5548,                0.83526,                0.77062,                0.77274,                0.85725,                0.45007,                 1.7308,                 1.1046,                0.53093,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.1016,                 1.5892,                0.83762,                0.56549,                   0.71,                0.67443,                0.30878,                 1.8441,                 1.1924,                0.54246,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0692,                 1.5554,                0.83457,                0.70377,                   0.54,                0.66818,                0.31709,                 1.8072,                 1.1784,                0.53017,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0768,                 1.5997,                0.83089,                0.50701,                   0.79,                0.57291,                 0.2806,                 1.8097,                 1.3831,                0.53168,               0.001571,               0.001571,               0.001571
                     67,                 1.0843,                 1.6136,                0.83738,                0.63847,                   0.73,                 0.7624,                0.46167,                 1.7639,                 1.1681,                0.52541,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0702,                 1.5682,                0.83342,                0.41067,                   0.69,                0.52901,                0.28616,                 1.8377,                 1.3649,                0.52166,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0678,                 1.5522,                0.82348,                 0.6462,                   0.64,                0.70974,                0.34744,                 1.7365,                 1.1952,                0.52177,              0.0015512,              0.0015512,              0.0015512
                     70,                  1.082,                 1.5563,                0.83172,                0.54356,                   0.68,                0.60397,                0.33395,                 1.8486,                 1.2284,                0.52683,              0.0015446,              0.0015446,              0.0015446
                     71,                  1.084,                 1.5558,                0.83395,                0.63766,                   0.69,                 0.7238,                 0.3562,                 1.7951,                 1.2382,                0.53548,               0.001538,               0.001538,               0.001538
                     72,                 1.0605,                 1.5657,                0.83363,                0.62406,                   0.65,                0.67424,                0.39053,                  1.811,                 1.2418,                0.53659,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0949,                 1.5636,                 0.8296,                 0.7126,                   0.62,                0.74956,                0.40266,                 1.7046,                 1.1422,                0.53088,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0726,                 1.5283,                0.82739,                0.59219,                   0.68,                0.65088,                0.34498,                 1.6823,                 1.2016,                0.53216,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0658,                 1.5244,                0.82702,                0.62306,                0.64467,                0.71817,                0.38798,                 1.7246,                 1.1768,                0.54266,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0518,                 1.5007,                0.82794,                0.69188,                   0.75,                0.81988,                0.42108,                 1.7353,                0.97473,                0.52277,               0.001505,               0.001505,               0.001505
                     77,                  1.071,                 1.5503,                0.83133,                0.76483,                   0.79,                0.86592,                0.43621,                 1.7333,                0.95196,                0.53231,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.0487,                 1.4934,                0.82852,                0.61091,                   0.86,                0.80468,                0.47842,                 1.7022,                 1.0162,                0.51761,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.0532,                 1.5109,                0.82936,                0.78725,                0.74007,                0.86193,                0.46934,                 1.7888,                0.98299,                0.52373,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.0525,                 1.5114,                0.83064,                0.48191,                   0.49,                0.52004,                0.26037,                 1.8002,                 1.5556,                0.52452,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.0611,                 1.5122,                0.82943,                0.49872,                 0.6865,                 0.5859,                 0.3339,                 1.8186,                 1.2048,                0.53017,               0.001472,               0.001472,               0.001472
                     82,                 1.0623,                 1.5159,                0.82581,                0.73569,                   0.74,                0.82465,                0.43659,                 1.7648,                0.99809,                0.52797,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.0578,                 1.5188,                 0.8268,                0.66053,                   0.84,                 0.7676,                0.40832,                 1.7576,                 1.1073,                0.52114,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.0676,                 1.4694,                0.82768,                0.45482,                0.64239,                0.56409,                 0.2921,                 1.8176,                 1.3188,                0.53077,              0.0014522,              0.0014522,              0.0014522
                     85,                  1.048,                 1.4956,                0.82841,                0.77486,                    0.7,                0.80941,                0.49603,                 1.7681,                 1.0384,                0.52867,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.0312,                 1.4578,                0.82912,                 0.7877,                   0.84,                0.87939,                0.49548,                 1.7232,                0.91531,                0.53222,               0.001439,               0.001439,               0.001439
                     87,                 1.0441,                 1.4501,                0.82316,                 0.6172,                0.79006,                0.72283,                0.40011,                   1.77,                  1.034,                0.52157,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.0543,                 1.4802,                0.82362,                0.68032,                0.85126,                0.83131,                0.44653,                 1.7466,                0.99171,                0.52579,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.0291,                 1.4658,                 0.8271,                0.62561,                   0.71,                 0.7523,                0.38719,                 1.7094,                 1.0807,                0.51785,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.0357,                 1.4666,                0.82817,                 0.7903,                   0.81,                 0.8707,                0.46118,                 1.7367,                0.94783,                0.51783,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.0489,                 1.4516,                 0.8225,                0.84659,                0.60704,                0.81768,                0.42089,                 1.7763,                0.96008,                 0.5258,               0.001406,               0.001406,               0.001406
                     92,                  1.041,                 1.4582,                0.82666,                0.66805,                    0.7,                0.73908,                 0.3624,                 1.7694,                  1.111,                0.52216,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.0435,                 1.4578,                0.82693,                 0.6389,                0.67235,                0.73059,                0.40451,                 1.7053,                 1.1093,                0.52505,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.0367,                 1.4362,                0.81924,                0.49974,                   0.62,                0.53702,                0.26549,                 1.7847,                 1.3434,                0.51786,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.0356,                 1.4362,                0.82245,                0.52726,                   0.64,                0.64311,                0.30452,                 1.7668,                 1.2233,                0.52765,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.0362,                 1.4402,                0.82101,                0.54212,                   0.76,                0.68757,                0.38683,                 1.6698,                 1.0968,                0.51025,               0.001373,               0.001373,               0.001373
                     97,                 1.0301,                 1.4475,                0.82714,                0.66582,                0.79699,                0.76507,                0.38621,                 1.7828,                0.94592,                0.52736,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.0522,                 1.4506,                0.82397,                0.54325,                   0.69,                0.68616,                0.32681,                 1.8109,                 1.0445,                0.52973,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.0214,                 1.4337,                0.82337,                 0.4927,                    0.7,                0.56127,                0.28368,                 1.7839,                 1.2541,                0.51963,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.0121,                 1.4252,                0.81822,                 0.7126,                   0.73,                0.81148,                0.43764,                 1.7129,                0.89222,                0.51597,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.0267,                 1.4368,                0.82165,                0.69208,                0.78667,                 0.8459,                0.46944,                 1.6796,                0.90958,                0.52137,                0.00134,                0.00134,                0.00134
                    102,                 1.0509,                  1.456,                0.82398,                0.91267,                0.83609,                0.93161,                0.50543,                 1.7271,                0.83646,                0.52777,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.0374,                 1.4221,                0.82544,                0.63447,                0.78108,                0.79391,                0.41031,                 1.7139,                0.94385,                0.53596,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.0272,                 1.4254,                0.82268,                0.83055,                   0.87,                0.91908,                 0.5123,                 1.7098,                0.85642,                0.53179,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.0361,                 1.4149,                0.82102,                0.63622,                   0.81,                0.75465,                0.40446,                  1.697,                 1.0159,                0.52957,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.0268,                 1.4082,                0.82258,                0.61748,                   0.67,                0.70981,                0.36877,                 1.7132,                 1.0765,                0.51957,               0.001307,               0.001307,               0.001307
                    107,                 1.0227,                 1.4053,                0.81948,                0.75573,                0.86631,                0.86667,                0.46738,                 1.7286,                0.86992,                0.51205,              0.0013004,              0.0013004,              0.0013004
